"Timestamp","Género","Edad","Altura en metros","Hornalla favorita","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante derecha]","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás derecha]","La cocina es","¿Con qué encendés las hornallas?","¿Con qué frecuencia usás una hornalla?","¿Cuál es tu mano más hábil?","¿Tenés niñes menores en tu casa?","¿Tenés mascotas en tu casa?","¿Hacia qué lado del anafe tenés mesada?"
"2020/08/11 8:45:50 PM GMT-3","Mujer","20","1.63","Atrás derecha","Media","Alta","Baja","Media","A gas","Botón de la cocina","Dos o tres veces por semana","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:46:11 PM GMT-3","Hombre","19","1.79","Atrás derecha","Baja","Baja","Alta","Media","A gas","Fósforos;Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:46:15 PM GMT-3","Mujer","35","1.63","Adelante izquierda","Baja","Alta","Baja","Media","A gas","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:46:18 PM GMT-3","Mujer","27","1.55","Adelante derecha","Media","Baja","Media","Alta","A gas","Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:46:29 PM GMT-3","Hombre","48","1.82","Adelante derecha","Alta","Baja","Alta","Baja","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:47:08 PM GMT-3","Mujer","37","1.64","Adelante izquierda","Media","Baja","Baja","Media","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:47:08 PM GMT-3","Hombre","21","1.73","Adelante derecha","Alta","Media","Alta","Media","A gas","Magiclik","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 8:47:11 PM GMT-3","Hombre","38","1.71","Adelante derecha","Media","Alta","Media","Alta","Eléctrica","Botón de la cocina","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 8:47:26 PM GMT-3","Mujer","35","1.66","Adelante izquierda","Media","Media","Media","Baja","A gas","Encendedor","Día por medio","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:47:29 PM GMT-3","Hombre","38","1.78","Atrás derecha","Media","Baja","Media","Alta","A gas","Botón de la cocina","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:47:43 PM GMT-3","Mujer","25","1.60","Adelante derecha","Media","Baja","Alta","Funciona mal","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 8:47:45 PM GMT-3","Mujer","25","1.63","Adelante izquierda","Alta","Alta","Media","Media","Eléctrica","Es automático","Todos los días","Izquierda","No","No","Derecha"
"2020/08/11 8:47:52 PM GMT-3","Hombre","32","1.7","Adelante izquierda","Media","Alta","Media","Alta","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
